shipment_id,order_id,carrier,tracking_number,ship_date,estimated_delivery,actual_delivery,shipping_cost,weight_kg,shipment_status,destination_city,delivery_attempts,delay_reason
S000001,O000001, DHL ,TRK44552990,2025-04-03 00:56:00,2025-04-09,2025-04-11,500,1,Delayed,Antipolo,,Address issue
S000002,O000002,DHL, 190681638 ,2025-03-24 14:36:00,2025-03-30,2025-03-29,150,3,Lost,Pasig,2,Weather
S000003,O000003, NINJA VAN ,TRK76141792,2022-05-13 06:33:00,,,180,20,Delayed,Manila,3,
S000004,O000004,JRS Express,,2022-05-29 23:04:00,2022-06-03,2022-06-04,250,3,In Transit,Iloilo,2,Warehouse delay
S000005,O000005,dhl ,TRK81422229,2023-09-23 14:10:00,2023-09-25,2023-09-24,500,20,Returned,ANTIPOLO ,2,Warehouse delay
S000006,O000006,FedEx,TRK27248732,2024-02-09 09:05:00,2024-02-13,2024-02-14,80,3, Out for Delivery, Davao City ,1,Weather
S000007,O000007,2GO,,2025-03-28 20:57:00,2025-04-02,,150,10,In Transit, antipolo,1,
S000008,O000008,FedEx,,2025-05-29 04:00:00,2025-06-10,2025-06-16,500,2,OUT FOR DELIVERY ,Cebu City,2,Weather
S000009,O000009,JRS Express, 715569643 ,2022-12-30 01:46:00,2023-01-01,2023-01-06,250,1,Returned,Makati,,Carrier backlog
S000010,O000010,LBC,,2025-09-26 10:36:00,2025-10-08,2025-10-06,350,,Preparing,Taguig,1,Weather
S000011,O000011,LBC,TRK27395792,2023-04-30 15:16:00,2023-05-12,,,2, Preparing ,Taguig,2,Address issue
S000012,O000012,2GO, 783165144 ,2022-07-11 10:11:00,2022-07-22,2022-07-20,250,1,Delayed,Davao City,1,Carrier backlog
S000013,O000013,Ninja Van,TRK20550762,2022-10-02 17:30:00,2022-10-11,2022-10-12,250,10,Preparing,Makati,1,
S000014,O000014, JRS EXPRESS, 679962428 ,2024-09-05 06:37:00,2024-09-09,2024-09-08,100,,Delayed,Pasig,1,Customer unavailable
S000015,O000015, j&t express ,TRK40073135,2022-12-20 12:23:00,2022-12-27,2023-01-03,150,5,Out for Delivery,Cebu City ,2,Warehouse delay
S000016,O000016,2GO,,2024-11-07 09:54:00,2024-11-15,2024-11-20,,0.5,Delivered,Iloilo,1,Carrier backlog
S000017,O000017,Ninja Van,,2024-09-19 20:34:00,2024-10-01,2024-10-05,350,5,Preparing,Cebu City,,Address issue
S000018,O000018,DHL,,2025-04-13 09:13:00,2025-04-19,2025-04-25,150,3,Preparing,Antipolo,1,Warehouse delay
S000019,O000019,FedEx,,2023-05-03 08:39:00,2023-05-14,,250,,Delivered,Manila,3,Warehouse delay
S000020,O000020,Ninja Van,TRK27026244,2023-01-15 12:36:00,2023-01-24,2023-01-24,250,0.5,Delayed,Quezon City,1,Address issue
S000021,O000021,FedEx,,2025-05-11 22:25:00,2025-05-19,2025-05-20,500,5, Preparing,Pasig,3,Address issue
S000022,O000022,DHL, 351906247 ,2025-10-30 20:58:00,2025-11-06,2025-11-06,120,10,Lost,Antipolo,1,Warehouse delay
S000023,O000023,Ninja Van,,2025-10-01 20:42:00,,,100,3,Lost,Manila,3,Customer unavailable
S000024,O000024,J&T Express,,2022-05-23 15:26:00,2022-05-25,2022-06-01,350,,Out for Delivery,Davao City,1,
S000025,O000025,FedEx,,2023-09-11 18:04:00,2023-09-17,,150,15,Out for Delivery,Makati,1,Warehouse delay
S000026,O000026,DHL,TRK88441730,2025-10-27 02:46:00,2025-10-30,2025-11-05,120,3,Preparing,Manila,1,Weather
S000027,O000027,DHL,,2024-01-02 17:54:00,2024-01-14,,350,20,Delivered,Taguig,2,Address issue
S000028,O000028,2GO,,2025-04-07 00:56:00,2025-04-17,,120,0.5,In Transit,Antipolo,,Customer unavailable
S000029,O000029,Ninja Van, 755805727 ,2025-10-23 07:53:00,2025-11-01,,100,15,Delivered,Cebu City,1,Address issue
S000030,O000030,DHL,,2024-08-25 11:57:00,2024-09-06,,150,20,In Transit,Pasig,1,Address issue
S000031,O000031,FedEx, 504081972 ,2023-08-15 07:27:00,2023-08-18,2023-08-20,350,10,Delayed,Davao City,,Carrier backlog
S000032,O000032,Ninja Van, 656227618 ,2025-03-27 02:12:00,2025-04-05,2025-04-11,180,0.5,Delayed,Caloocan,,Address issue
