return_id,order_id,customer_id,return_date,return_reason,refund_amount,return_status,inspection_result
R00001,O002435,C00690,2025-05-08,Changed Mind,,Requested,Passed
R00002,O001399,C00042,2025-01-28,Changed Mind,4999,Approved,
R00003,O000397,C00451,2022-11-23,late delivery ,499,Requested,
R00004,O003431,C00977,2025-05-13,Damaged,1499,Completed,
R00005,O002041,C00494,2022-03-25,Wrong Item,9999,,Passed
R00006,O004955,C00810,2024-04-26,Damaged,,Completed,Not Inspected
R00007,O004520,C00563,2024-02-10,Damaged,2999,Pending,Not Inspected
R00008,O004026,C00431,2023-08-23,Wrong Item,799,Completed,
R00009,O002289,C00817,2023-01-21,Changed Mind,799,Requested,Failed
R00010,O003600,C00532,2024-10-10,Defective,9999, Rejected,Not Inspected
R00011,O001786,C00425,2022-08-24,Changed Mind,4999,Approved,Not Inspected
R00012,O001311,C00137,2025-10-10,Damaged,799,Rejected,Failed
R00013,O002989,C00576,2023-12-04,Changed Mind,2999,Requested,Failed
R00014,O004173,C00116,2023-02-16,Late Delivery,1499,Completed,Not Inspected
R00015,O004977,C00341,2022-07-05,Changed Mind,9999,Pending,Not Inspected
R00016,O003925,C00675,2025-12-07,Late Delivery,1499,Rejected,Passed
R00017,O004460,C00564,2025-01-13,Wrong Item,9999,Approved,
R00018,O000630,C00788,2024-05-29,Damaged,2999, Rejected ,Passed
R00019,O002632,C00529,2024-04-22, changed mind,2999, completed,Passed
R00020,O003750,C00069,2023-02-04,Late Delivery,999,Rejected,Failed
R00021,O000199,C00523,2023-06-18,Changed Mind,799,Rejected,
R00022,O001674,C00702,2023-09-05,Not as Described,9999, completed,Passed
R00023,O002588,C00230,2022-02-18,wrong item ,999,Rejected,Failed
R00024,O001856,C00047,2025-03-29,Defective,2999,Rejected,Failed
R00025,O000142,C00819,2023-10-03,Not as Described,499,Approved,Passed
R00026,O002973,C00257,2025-09-06,Defective,799,Rejected,Passed
R00027,O001314,C00082,2025-11-22,Not as Described,999,Rejected,Passed
R00028,O001270,C00391,2022-05-12,Damaged,,Rejected,Not Inspected
R00029,O001723,C00176,2024-05-16,Late Delivery ,4999,Pending,Failed
R00030,O003305,C00625,2023-12-23,Changed Mind,499,Rejected,
R00031,O000531,C00704,2024-05-23, Late Delivery ,4999,Completed,Failed
R00032,O000772,C00914,2024-03-02,Late Delivery,2999,Requested,
R00033,O002167,C00531,2023-07-27,LATE DELIVERY,799,Requested,Passed
R00034,O003032,C00992,2025-01-07,Changed Mind,2999,Completed,Not Inspected
R00035,O003212,C00572,2024-11-26,Defective,1499,Approved,
R00036,O001006,C00140,2022-12-21,Defective,799,Requested,Failed
R00037,O002009,C00754,2023-02-05,,499,Requested,
R00038,O001253,C00450,2024-04-21,Defective,2999,Requested,Passed
R00039,O001332,C00778,2022-12-10,Defective,,Requested,Passed
R00040,O004479,C00745,2023-12-22,Defective,799,Completed,Not Inspected
R00041,O000324,C00660,2022-03-27,Late Delivery,799,,Not Inspected
R00042,O003894,C00188,2023-06-26,Changed Mind,9999,Rejected,Passed
R00043,O002011,C00991,2024-05-12, Changed Mind,499,Approved,Not Inspected
R00044,O002364,C00759,2023-07-28,Not as Described,799,Completed,Failed
R00045,O003334,C00338,2024-12-11,Wrong Item,9999,Completed,Not Inspected
R00046,O002820,C00293,2024-12-26, DEFECTIVE ,999,REQUESTED,
R00047,O002265,C00989,2024-01-19,,2999,Pending,Not Inspected
R00048,O002930,C00334,2025-10-27,,1499,Requested,Passed
R00049,O004953,C00894,2022-12-09,Defective,999,Approved,Failed
R00050,O002032,C00972,2023-12-30,Late Delivery,799, completed ,Passed
R00051,O002703,C00372,2025-06-01,Damaged,499,Requested,Not Inspected
R00052,O003846,C00547,2025-07-08,Late Delivery,1499,Approved,Passed
R00053,O003377,C00534,2022-10-26,Not as Described,999,Completed,
R00054,O001847,C00142,2025-05-04,Late Delivery,1499,Approved,Passed
R00055,O002862,C00367,2025-02-23,Defective,799,Completed,Passed
R00056,O002064,C00163,2022-12-05,Late Delivery,499,Completed,Not Inspected
R00057,O001383,C00729,2023-12-09,Changed Mind,1499,Approved,Passed
R00058,O003459,C00436,2022-07-21,Late Delivery,999,Requested ,Passed
R00059,O000566,C00196,2022-05-08,Defective,4999,Approved,Passed
R00060,O004310,C00260,2025-06-23,Not as Described,1499,Requested,Not Inspected
R00061,O002123,C00702,2023-03-31,Wrong Item,9999,Requested,Not Inspected
R00062,O003588,C00625,2025-11-01, CHANGED MIND ,999,Pending,Not Inspected
R00063,O000036,C00892,2024-03-23,Changed Mind,999,Completed,
R00064,O004102,C00736,2022-06-12,Late Delivery,1499,,Not Inspected
R00065,O001457,C00967,2023-04-24,Damaged,4999,Completed,Passed
R00066,O003053,C00783,2022-01-04,Late Delivery,2999,Approved,
R00067,O000849,C00609,2025-09-11,Changed Mind,999,Pending,Not Inspected
R00068,O003296,C00778,2022-01-14,Defective,499,Pending,Passed
R00069,O002010,C00857,2023-03-08,Damaged,1499,Pending,Failed
R00070,O000264,C00908,2023-04-09, Late Delivery ,2999,Approved,Not Inspected
R00071,O000199,C00828,2025-03-06,Damaged,4999,Approved,Passed
R00072,O002119,C00524,2023-11-22,Not as Described,499,Approved,
R00073,O000117,C00009,2023-12-15, late delivery,1499,Completed,
R00074,O001501,C00708,2024-02-28,Defective,799,Pending,Not Inspected
R00075,O004253,C00799,2023-01-18,Changed Mind,,PENDING,
R00076,O000146,C00410,2024-04-20,Damaged,1499,Completed,Passed
R00077,O000898,C00684,2023-06-21,Defective,1499, completed ,Not Inspected
R00078,O002985,C00021,2023-11-02,Damaged,799,,Passed
R00079,O002275,C00644,2023-06-16,Damaged,,Completed,Not Inspected
R00080,O001513,C00256,2024-12-18,Late Delivery,499,Pending,Passed
R00081,O003385,C00394,2025-06-20,Not as Described,4999,Approved,
R00082,O001117,C00292,2023-11-03,Damaged,799,Requested,
R00083,O001572,C00990,2022-04-13,Changed Mind,799,Pending,Failed
R00084,O000052,C00849,2025-12-16,Wrong Item,499,Completed,Not Inspected
R00085,O000645,C00334,2024-10-22,Changed Mind,999,Requested,Not Inspected
R00086,O000451,C00326,2025-08-08,Defective,799,Pending ,
R00087,O000624,C00621,2023-02-06,late delivery ,499,Completed,Passed
R00088,O000587,C00316,2022-07-24,Changed Mind,9999,Pending,Failed
R00089,O001045,C00224,2025-05-08,Defective,9999,Requested,Not Inspected
R00090,O004815,C00993,2025-02-25,Changed Mind,4999,Approved,
R00091,O003307,C00457,2022-08-29,Wrong Item,999,Rejected,Passed
R00092,O001873,C00670,2023-09-16,Wrong Item,4999, REJECTED,Not Inspected
R00093,O002647,C00647,2025-11-28,Defective,999,Pending,
R00094,O000501,C00571,2022-01-04,Damaged,799,Requested,
R00095,O000525,C00077,2024-11-11,Not as Described,1499,Completed,Passed
R00096,O002833,C00121,2024-03-20,,2999,Approved,Failed
R00097,O004565,C00979,2024-12-05,Damaged,4999,Pending,
R00098,O003126,C00048,2024-11-19,Not as Described,999,Approved,Not Inspected
R00099,O003183,C00068,2022-04-02,Defective,9999,Pending,Not Inspected
R00100,O003717,C00826,2024-12-07,Late Delivery,2999,,Failed
R00101,O000862,C00790,2022-10-18,Damaged,799, REJECTED,
R00102,O002030,C00615,2022-09-23,DEFECTIVE ,,Rejected,Not Inspected
R00103,O000364,C00200,2024-12-11,Not as Described,999,Requested,Passed
R00104,O001358,C00794,2023-10-31,Late Delivery,999,Pending,
R00105,O004819,C00503,2022-12-18,Wrong Item,4999,Requested,
R00106,O001698,C00657,2023-05-30, changed mind ,799,Pending,Not Inspected
R00107,O003017,C00584,2022-08-11, changed mind ,499,Rejected,Not Inspected
R00108,O003172,C00875,2022-07-19,Damaged,999,Pending,Failed
R00109,O001696,C00115,2023-04-09,Damaged,799,Rejected,Passed
R00110,O002464,C00163,2024-02-26,Wrong Item,999,,Failed
R00111,O004024,C00634,2025-01-09,Late Delivery,999,Pending,Not Inspected
R00112,O002043,C00020,2024-12-05,Wrong Item,,Completed,Failed
R00113,O000699,C00152,2024-11-29,Defective,999,Rejected,
R00114,O002387,C00076,2023-09-10,Late Delivery,799,Completed,
R00115,O000611,C00780,2023-11-17,Wrong Item,999,Completed,Not Inspected
R00116,O002836,C00044,2023-06-05, damaged ,9999,Requested,Passed
R00117,O001719,C00751,2023-08-29,Not as Described,9999,Rejected,Failed
R00118,O002655,C00286,2025-04-15,Changed Mind,1499,Requested,
R00119,O003032,C00755,2023-08-03,Damaged,799,Completed,
R00120,O003196,C00565,2023-06-26,Defective,4999,Approved,Not Inspected
R00121,O004306,C00279,2023-10-20,Damaged,1499,Requested,Failed
R00122,O001256,C00765,2023-04-28,Defective,9999,Pending,Not Inspected
R00123,O004724,C00661,2025-08-28,Not as Described,9999,Approved,Passed
R00124,O004931,C00770,2023-06-08, Late Delivery,999,Approved,Passed
R00125,O004147,C00038,2025-09-16,Wrong Item,4999,Completed,Failed
R00126,O004910,C00944,2024-06-20,Late Delivery,,Pending,Failed
R00127,O002482,C00711,2023-07-31,Not as Described,9999,Approved,Not Inspected
R00128,O000568,C00929,2023-11-12,Damaged,1499,,Not Inspected
R00129,O000133,C00212,2025-02-11,Changed Mind,2999,Rejected,
R00130,O003842,C00503,2025-11-25, WRONG ITEM ,499,Completed,Passed
R00131,O000308,C00835,2025-05-18,Late Delivery,1499,Rejected,
R00132,O003678,C00303,2023-09-09,Defective,4999,Requested,Failed
R00133,O002901,C00559,2025-07-04,Late Delivery,1499,Approved,Passed
R00134,O000943,C00410,2022-02-14,Defective,4999,Requested,Passed
R00135,O003391,C00656,2023-07-16,Damaged,4999,Rejected,Failed
R00136,O003456,C00769,2025-06-14,Defective,499,Approved,
R00137,O001562,C00128,2022-03-20,Changed Mind,1499,Completed,Failed
R00138,O000175,C00848,2024-07-08,Not as Described,999,Requested,Passed
R00139,O003564,C00741,2022-09-26, Not as Described ,,Completed,
R00140,O002307,C00865,2025-02-12,Defective,9999,Completed,Not Inspected
R00141,O000283,C00424,2025-12-24,Changed Mind,499,Pending,Failed
R00142,O000618,C00052,2024-07-09,Defective,, Completed ,Failed
R00143,O004438,C00451,2024-09-11,Changed Mind,9999,Rejected,Passed
R00144,O000198,C00551,2023-09-13,Defective,1499,Pending,Passed
R00145,O002533,C00713,2022-08-08,DAMAGED,9999,Requested,Not Inspected
R00146,O002908,C00475,2024-07-27,Defective,799,Rejected,Passed
R00147,O003069,C00635,2024-07-26,Changed Mind,9999,Requested,
R00148,O001661,C00272,2022-10-04,Wrong Item,999,Approved,Not Inspected
R00149,O003139,C00475,2025-05-04,Wrong Item,4999,Requested,Not Inspected
R00150,O001847,C00865,2024-09-12,CHANGED MIND,9999,Rejected,Passed
